,"b""amazon-order-id",merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-sold-by-ab 
10,302-4845552-2595563,302-4845552-2595563,2020-08-15T12:24:40+00:00,2020-09-04T11:46:58+00:00,Shipped,Amazon,Amazon.de,,,Expedited,IZAS Wandern Sandale,IWFFO01051BM41 AMZ,B0888WHBHG,Shipped,1,EUR,37.99,,,,,,,,Edewecht OT Friedrichsfehn,,26188,DE,,false,,,,false
11,304-9832610-3823500,,2020-08-16T16:49:35+00:00,2020-09-03T10:06:33+00:00,Shipped,Merchant,Amazon.de,,,Standard,IZAS Wandern Sandale,IWFFO01051BM41,B0888WHBHG,Shipped,1,EUR,37.99,,,,,,,,Bischofsheim,Bayern,97653,DE,,false,,,,false
12,304-8484097-5014735,304-8484097-5014735,2020-08-30T18:24:37+00:00,2020-08-31T19:53:41+00:00,Shipped,Amazon,Amazon.de,,,Expedited,IZAS Trekkinghose Wengen,IWPPA00579BK/FXL AMZ,B00R4L9HQ6,Shipped,1,EUR,54.99,,,,,,,,Geesthacht,,21502,DE,,false,,,,false
13,171-7316668-9165128,,2020-09-07T12:05:24+00:00,2020-09-07T12:10:08+00:00,Pending,Merchant,Amazon.es,,,Standard,"Izas Sutton Forro polar, Hombre, Gris Oscuro, M",IMLPF00352DGM,B01DBWYWQ6,Unshipped,1,EUR,15.99,,,,,,,,O Barco,Espa\xc3\xb1a - Espa\xc3\xb1ol,32300,ES,,false,,,,false
14,171-7316668-9165128,,2020-09-07T12:05:24+00:00,2020-09-07T12:10:08+00:00,Pending,Merchant,Amazon.es,,,Standard,"Izas - Sutton | para Hombre Gran Comodidad en el Cuello, y Mangas el\xc3\xa1sticas | Tejido c\xc3\xb3modo y abrigado. | Color: Royal | Talla: M | para Hombre",IMLPF00352RYM,B01DBX05SO,Unshipped,1,EUR,15.99,,,,,,,,O Barco,Espa\xc3\xb1a - Espa\xc3\xb1ol,32300,ES,,false,,,,false
15,S02-5369769-8851955,200827JO,2020-08-27T07:11:56+00:00,2020-09-07T11:52:34+00:00,Shipping,Amazon,Non-Amazon,,,Standard,"Izas Frosty II Sandalia Unisex Adulto (Black, 40)",IUFSD01410BK40 AMZ1,B07QCBMXB5,Unshipped,1,,,,,,,,,,Zaragoza,,50197,ES,,false,,,,false
16,S02-6145779-4246160,200827CQ,2020-08-27T07:07:46+00:00,2020-09-07T11:39:05+00:00,Shipping,Amazon,Non-Amazon,,,Standard,Izas Sandalia Tena,IWFFO01051TQ39 AMZ1,B06XT35WYF,Unshipped,2,,,,,,,,,,Zaragoza,,50197,ES,,false,,,,false
17,405-9938889-6955564,,2020-09-06T08:49:56+00:00,2020-09-07T11:02:30+00:00,Shipped,Merchant,Amazon.es,,,Standard,Izas Chaqueta Forro Polar Wheeler,IWLPF00565FX/BKM,B00R4LBKP2,Shipped,1,EUR,16.99,,,,,,,,Valdeluz,Gadalajara,19139,ES,,false,,,,false
18,S02-0983748-5887862,200723185,2020-07-23T07:26:42+00:00,2020-09-07T09:43:22+00:00,Shipping,Amazon,Non-Amazon,,,Standard,"Izas Nelion Camiseta t\xc3\xa9rmica, Hombre, Rojo, XXL",IMTTH00424RDXXL AMZ,B0185GY5GA,Unshipped,6,,,,,,,,,,Zaragoza,,50197,ES,,false,,,,false
19,S02-7776194-2189461,TARA 18-08,2020-08-18T08:07:31+00:00,2020-09-07T09:40:44+00:00,Shipping,Amazon,Non-Amazon,,,Standard,Izas Sandalia Tena,IWFFO01051TQ38 AMZ,B06XSKB3K3,Unshipped,2,,,,,,,,,,Zaragoza,,50197,ES,,false,,,,false
20,S02-7186275-9185567,200723VV,2020-07-23T07:19:16+00:00,2020-09-07T09:22:39+00:00,Shipping,Amazon,Non-Amazon,,,Standard,"Izas Outdoor Leeds, Sandalias Deportivas para Mujer, Wasabi Sand, 36 EU",IWFSD01412WB/SD36 AMZ,B07R67JBCD,Unshipped,1,,,,,,,,,,Zaragoza,,50197,ES,,false,,,,false
21,S02-5088283-2419551,TARAS 7-8,2020-08-07T06:44:45+00:00,2020-09-07T09:20:09+00:00,Shipping,Amazon,Non-Amazon,,,Standard,"Izas Tena Sandalia, Mujer (Wasabi, Numeric_41)",IWFFO01051WB41 AMZ,B07PVC3Z41,Unshipped,1,,,,,,,,,,Zaragoza,,50197,ES,,false,,,,false
22,S02-3273514-9576201,2008061TV7,2020-08-07T06:42:49+00:00,2020-09-07T08:47:17+00:00,Shipping,Amazon,Non-Amazon,,,Standard,Izas Sandalia Frosty,IUFFO00507BL36 AMZ,B00L5CNFQI,Unshipped,3,,,,,,,,,,Zaragoza,,50197,ES,,false,,,,false
23,402-2745526-5762769,,2020-09-04T20:19:58+00:00,2020-09-07T08:43:11+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Meldon Pantal\xc3\xb3n de monta\xc3\xb1a, Hombre, Multicolor (Negro/Gris Oscuro), M",IMPPA00379BK/DGM,B01DBXAU7A,Shipped,1,EUR,21.99,,,,,,,,Mutriku,Guip\xc3\xbazcoa,20830,ES,,false,,,,false
24,407-8447248-7209134,,2020-09-05T13:31:52+00:00,2020-09-07T08:41:43+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas - Sutton | para Hombre Gran Comodidad en el Cuello, y Mangas el\xc3\xa1sticas | Tejido c\xc3\xb3modo y abrigado | Rojo |Tama\xc3\xb1o: XL | para: Hombre",IMLPF00352RDXL,B01DBWZTVS,Shipped,1,EUR,15.99,,,,,,,,Aranjuez,Madrid,28300,ES,,false,,,,false
25,171-0853743-4261900,,2020-09-05T08:33:25+00:00,2020-09-07T08:38:20+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Urubamba Pantalones Cortos de Monta\xc3\xb1a, Hombre, Gris Oscuro, M",IMPSH00399DGM,B01DBYSDX2,Shipped,1,EUR,15.99,,,,,,,,VILANOVA I LA GELTRU,Barcelona,08800,ES,,false,,,,false
26,402-6696456-1820352,,2020-09-05T11:49:33+00:00,2020-09-07T07:59:14+00:00,Shipped,Merchant,Amazon.es,,,Standard,Izas - Navia - Pantal\xc3\xb3n - Woman - Fuxia/Dark Grey - XS,IWPPA00881FX/DGXS,B01DAK6I70,Shipped,1,EUR,29.99,,,,,,,,Humanes,Guadalajara,19220,ES,,false,,,,false
27,407-3394274-7261135,,2020-09-05T13:31:45+00:00,2020-09-07T07:55:50+00:00,Shipped,Merchant,Amazon.es,,,Standard,Izas Forro Polar Ferni,IWLPF00558VI3XL,B01DAJY2ME,Shipped,1,EUR,15.99,,,,,,,,Barrio de lomba,Zamora,49396,ES,,false,,,,false
28,402-5325019-9872322,,2020-09-06T08:10:03+00:00,2020-09-07T07:44:35+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Meldon Pantal\xc3\xb3n de monta\xc3\xb1a, Hombre, Marr\xc3\xb3n (Stone), L",IMPPA00379STL,B01DBXBPAQ,Shipped,1,EUR,21.99,,,,,,,,Cerdanyola,Barcelona,08290,ES,,false,,,,false
29,406-0070027-3669154,,2020-09-06T16:03:49+00:00,2020-09-07T07:40:45+00:00,Shipped,Merchant,Amazon.es,,,Standard,Izas Chaqueta Forro Polar Wheeler,IWLPF00565FX/BKM,B00R4LBKP2,Shipped,1,EUR,16.99,,,,,,,,Herrera de los Navarros,Zaragoza,50150,ES,,false,,,,false
30,407-5412524-2332318,,2020-09-05T11:57:26+00:00,2020-09-07T07:31:36+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Outoor Eyre, Sandalias Deportivas para Mujer, Black Dark Grey, 39 EU",IWFSD01186BK/DG39,B07RF6Z4B9,Shipped,1,EUR,19.99,,,,,,,,Tona,Barcelona,08551,ES,,false,,,,false
31,171-1651341-7737931,,2020-09-05T15:12:09+00:00,2020-09-07T07:26:18+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Meldon Pantal\xc3\xb3n de monta\xc3\xb1a, Hombre, Multicolor (Negro/Gris Oscuro), 2XL",IMPPA00379BK/DGXXL,B01DBXAWK0,Shipped,1,EUR,21.99,,,,,,,,COLMENAREJO,MADRID,28270,ES,,false,,,,false
32,404-5644461-2369950,,2020-09-05T15:45:59+00:00,2020-09-07T07:24:35+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Dorota Pantalones Trekking, Mujer, Morado/Morado Oscuro, M",IWPPA00570PP/DPM,B07B137J8Z,Shipped,1,EUR,43.99,,,,,,,,Madrid,Madrid,28020,ES,,false,,,,false
33,408-0421226-3847508,,2020-09-05T21:26:28+00:00,2020-09-07T07:23:33+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Meldon Pantal\xc3\xb3n de monta\xc3\xb1a, Hombre, Multicolor (Stone/Dark Grey), L",IMPPA00379ST/DGL,B01DBXC5X2,Shipped,1,EUR,21.99,,,,,,,,RIBEIRA,A CORU\xc3\x91A,15969,ES,,false,,,,false
34,406-7287400-4727557,,2020-09-06T19:36:10+00:00,2020-09-07T06:34:31+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Orizaba Bermuda Stretch, Hombre",IMPSH00397STM,B01DBYO0S4,Shipped,1,EUR,13.99,,,,,,,,Vitoria-Gasteiz,\xc3\x81lava,01010,ES,,false,,,,false
35,402-2344687-7008344,402-2344687-7008344,2020-09-06T20:57:39+00:00,2020-09-07T01:54:30+00:00,Shipped,Amazon,Amazon.es,,,Expedited,"Izas Tena Sandalia, Mujer (Wasabi, Numeric_39)",IWFFO01051WB39 AMZ,B07PXCFZ7J,Shipped,1,EUR,34.99,,,,,,,,Elche,Alicante,03204,ES,,true,,,,false
36,408-8041927-6678729,408-8041927-6678729,2020-09-04T23:18:41+00:00,2020-09-07T01:08:29+00:00,Shipped,Amazon,Amazon.es,,,Expedited,Izas Chaqueta de Forro Polar Padru,IMLPF00348BK/RD4XL AMZ,B01FMQ1IGG,Shipped,1,EUR,18.99,,,,,,,,Collado Villalba,MADRID,28400,ES,,false,,,,false
37,406-7819684-2417923,406-7819684-2417923,2020-09-06T23:21:02+00:00,2020-09-06T23:21:05+00:00,Pending,Amazon,Amazon.es,,,Expedited,Izas Chaqueta Forro Polar Wheeler,IWLPF00565BK/FXXL AMZ,B071F4K6Y8,Unshipped,1,EUR,16.99,,,,,,,,Murcia,San Pedro del pinatar,30740,ES,,false,,,,false
38,403-1446445-7391546,403-1446445-7391546,2020-09-05T20:04:42+00:00,2020-09-06T21:40:06+00:00,Shipped,Amazon,Amazon.es,,,Expedited,"Izas Tena Sandalia, Mujer (Wasabi, Numeric_39)",IWFFO01051WB39 AMZ,B07PXCFZ7J,Shipped,1,EUR,34.99,,,,,,,,SOLLANA,VALENCIA,46430,ES,,false,,,,false
39,407-2501772-6862744,407-2501772-6862744,2020-09-06T00:26:36+00:00,2020-09-06T20:57:54+00:00,Pending,Amazon,Amazon.es,,,Expedited,"Izas Frisia Pantalones Cortos para Running, Mujer, Negro/Fuxia, 2XL",IWRRN00813BK/FXXXL AMZ,B01C76MZZC,Unshipped,1,EUR,21.99,,,,,,,,CORNELLA DE LLOBREGAT,Barcelona,08940,ES,,false,,,,false
40,406-9474802-4029142,406-9474802-4029142,2020-09-06T17:53:02+00:00,2020-09-06T17:55:01+00:00,Pending,Amazon,Amazon.es,,,Expedited,Izas Chaqueta Forro Polar Wheeler,IWLPF00565FX/BKS AMZ,B00R4LBMRI,Unshipped,1,EUR,16.99,,,,,,,,Barbastro,Huesca,22300,ES,,false,,,,false
41,408-0410191-3357920,408-0410191-3357920,2020-09-06T16:52:38+00:00,2020-09-06T16:52:41+00:00,Pending,Amazon,Amazon.es,,,Expedited,Izas Chaqueta Forro Polar Wheeler,IWLPF00565TQ/BKL AMZ,B0716SZ27S,Unshipped,1,EUR,16.99,,,,,,,,BURGOS,BURGOS,09002,ES,,false,,,,false
42,402-9896629-0710732,402-9896629-0710732,2020-09-06T12:17:04+00:00,2020-09-06T12:17:07+00:00,Pending,Amazon,Amazon.es,,,Expedited,"Izas Outdoor Leeds, Sandalias Deportivas para Mujer, Fuxia Light Rose, 40 EU",IWFSD01412FX/LR40 AMZ,B07R59763N,Unshipped,1,EUR,34.99,,,,,,,,ALCOBENDAS,MADRID,28108,ES,,false,,,,false
43,404-6999926-6267508,404-6999926-6267508,2020-09-06T11:34:59+00:00,2020-09-06T11:35:03+00:00,Pending,Amazon,Amazon.es,,,Expedited,Izas Chaqueta Forro Polar Wheeler,IWLPF00565FX/BKS AMZ,B00R4LBMRI,Unshipped,1,EUR,16.99,,,,,,,,Zaragoza,Zaragoza,50018,ES,,false,,,,false
44,407-4340750-1771551,407-4340750-1771551,2020-08-26T20:18:29+00:00,2020-09-06T06:21:31+00:00,Cancelled,Amazon,Amazon.es,,,Standard,"Izas Tena Sandalia, Mujer (Blanco, Numeric_40)",IWFFO01051WH40 AMZ,B0888K3W8P,Cancelled,0,,,,,,,,,,BERA,NAVARRA,31780,ES,ES Core Free Shipping 06/10/2016,false,,,,false
45,402-5295968-2701947,402-5295968-2701947,2020-08-24T15:05:45+00:00,2020-09-06T05:14:00+00:00,Cancelled,Amazon,Amazon.es,,,Expedited,"Izas Tena Sandalia, Mujer (Blanco, Numeric_40)",IWFFO01051WH40 AMZ,B0888K3W8P,Cancelled,0,,,,,,,,,,Madrid,Madrid,28035,ES,,false,,,,false
46,407-6547794-8165912,407-6547794-8165912,2020-09-05T21:15:59+00:00,2020-09-05T21:16:03+00:00,Pending,Amazon,Amazon.es,,,Expedited,"Izas Tena Sandalia, Mujer (Blanco, Numeric_37)",IWFFO01051WH37 AMZ,B0888VKTQM,Unshipped,1,EUR,34.99,,,,,,,,Chiva,Valencia,46370,ES,,false,,,,false
47,408-1032518-8673901,,2020-09-05T12:02:12+00:00,2020-09-05T15:10:17+00:00,Cancelled,Merchant,Amazon.es,,,Standard,"Izas - Sutton | para Hombre Gran Comodidad en el Cuello, y Mangas el\xc3\xa1sticas | Tejido c\xc3\xb3modo y abrigado | Rojo |Tama\xc3\xb1o: XL | para: Hombre",IMLPF00352RDXL,B01DBWZTVS,,0,,,,,,,,,,Aranjuez,Madrid,28300,ES,,false,,,,false
48,408-4055485-3561939,408-4055485-3561939,2020-09-04T10:33:59+00:00,2020-09-04T21:36:52+00:00,Shipped,Amazon,Amazon.es,,,Expedited,Izas Camiseta T\xc3\xa9rmica Anaga,IWTTH00598FXXS AMZ,B0185E6DSA,Shipped,1,EUR,13.99,,,,,,,,Quart de poblet,Valencia,46930,ES,,false,,,,false
49,405-8599996-8254767,,2020-09-03T15:12:06+00:00,2020-09-04T07:30:12+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Lenco Zapatilla Running, Unisex Adulto",IUFFO00509BK/DG46,B07PXDCTZR,Shipped,1,EUR,32.99,,,,,,,,lekeitio,vizcaya,48280,ES,,false,,,,false
50,S02-0096159-4527474,xk93iFu948,2020-09-03T18:42:20+00:00,2020-09-03T18:42:33+00:00,Shipping,Amazon,Non-Amazon,,,Standard,"Izas Tena Sandalia, Mujer (Wasabi, Numeric_38)",IWFFO01051WB38 AMZ,B07PXCYGTJ,Unshipped,1,,,,,,,,,,,,,,,false,,,,false
51,404-1012283-1074758,404-1012283-1074758,2020-09-02T21:46:16+00:00,2020-09-03T18:29:33+00:00,Shipped,Amazon,Amazon.es,,,Expedited,Izas Forro Polar Ferni,IWLPF00558BKS AMZ,B01DAJTR7Y,Shipped,1,EUR,15.99,,,,,,,,Fuengirola,M\xc3\xa1laga,29640,ES,,false,,,,false
52,408-7436234-5011525,,2020-09-03T12:48:56+00:00,2020-09-03T12:49:49+00:00,Cancelled,Merchant,Amazon.es,,,Standard,"Izas Vari - Camiseta para Hombre, Multicolor, Talla XS",IMSTS00419DG/RDXS,B01DBZEUS8,,0,,,,,,,,,,Vitoria,Alava,01010,ES,,false,,,,false
53,405-1636280-6642721,,2020-09-02T11:54:15+00:00,2020-09-03T06:05:40+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Outoor Eyre, Sandalias Deportivas para Mujer, Black Dark Grey, 37 EU",IWFSD01186BK/DG37,B07RF6JBRP,Shipped,1,EUR,19.99,,,,,,,,Markaida,Bizkaia,48120,ES,,false,,,,false
54,406-5255823-4424300,,2020-09-02T10:49:02+00:00,2020-09-03T06:02:25+00:00,Shipped,Merchant,Amazon.es,,,Standard,"Izas Soar Pantalones Cortos de Monta\xc3\xb1a, Mujer",IWPSH00585TQ/LGS,B01DAKG4AG,Shipped,1,EUR,21.99,,,,,,,,Zaragoza,Zaragoza,50018,ES,,false,,,,false
