,b'snapshot-date,sku,fnsku,asin,product-name,condition,sales-rank,product-group,total-quantity,sellable-quantity,unsellable-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,units-shipped-last-24-hrs,units-shipped-last-7-days,units-shipped-last-30-days,units-shipped-last-90-days,units-shipped-last-180-days,units-shipped-last-365-days,weeks-of-cover-t7,weeks-of-cover-t30,weeks-of-cover-t90,weeks-of-cover-t180,weeks-of-cover-t365,num-afn-new-sellers,num-afn-used-sellers,currency,your-price,sales-price,lowest-afn-new-price,lowest-afn-used-price,lowest-mfn-new-price,lowest-mfn-used-price,qty-to-be-charged-ltsf-12-mo,qty-in-long-term-storage-program,qty-with-removals-in-progress,projected-ltsf-12-mo,per-unit-volume,is-hazmat,in-bound-quantity,asin-limit,inbound-recommend-quantity,qty-to-be-charged-ltsf-6-mo,projected-ltsf-6-mo
176,2020-09-05T03:00:00+04:00,IWFFO00822BK/SV41 AMZ1,B07B11L1JF,B07B11L1JF,Izas Sandalia Ancelle,New,13543,gl_sports,2,2,0,2,0,0,0,0,0,0,2,28,30,30,Infinite,4.0,0.9285714285714,1.7333333333333,3.4666666666667,1,0,EUR,34.99,34.99,34.99,0.00,37.49,0.00,0,0,,0.00,7440.016327,N,0,0,0,0,0.00
177,2020-09-05T03:00:00+04:00,IWSTS01032WHL AMZ,B072LFDGQM,B072LFDGQM,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,3,3,0,3,0,0,0,0,0,0,0,0,0,0,Infinite,Infinite,Infinite,Infinite,Infinite,1,0,EUR,10.99,10.99,10.99,0.00,10.99,0.00,0,0,,0.00,986.042172,N,0,0,0,0,0.00
178,2020-09-05T03:00:00+04:00,IMYPD00916DQ/LM3XL AMZ1,B072HXL7B8,B072HXL7B8,Izas Chaqueta de Fibra Ultraligera Sindu,New,19543,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,0,Infinite,Infinite,Infinite,Infinite,Infinite,1,0,EUR,65.99,65.99,65.99,0.00,52.99,0.00,0,0,,0.00,11254.52471,N,0,0,0,0,0.00
179,2020-09-05T03:00:00+04:00,IMYPD00916BM/OR4XL AMZ,B072HXL7B6,B072HXL7B6,Izas Chaqueta de Fibra Ultraligera Sindu,New,19543,gl_sports,4,4,0,3,0,1,0,0,0,0,0,0,0,2,Infinite,Infinite,Infinite,Infinite,104.0,1,0,EUR,65.99,65.99,65.99,0.00,64.99,0.00,0,0,,0.00,17227.237858,N,0,0,0,0,0.00
180,2020-09-05T03:00:00+04:00,IMLPF00348DG/BKL AMZ,B072HXHM4Y,B072HXHM4Y,Izas Chaqueta de Forro Polar Padru,New,10438,gl_sports,4,4,0,4,0,0,0,0,0,0,0,1,7,13,Infinite,Infinite,52.0,14.8571428571429,16.0,1,0,EUR,16.99,16.99,16.99,0.00,18.99,0.00,0,0,,0.00,3923.508636,N,0,0,0,0,0.00
181,2020-09-05T03:00:00+04:00,IWJJA00554BMM AMZ,B072HVSKB8,B072HVSKB8,Izas Chaqueta de Punto Lucania,New,62370,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,0,Infinite,Infinite,Infinite,Infinite,Infinite,2,0,EUR,43.99,43.99,39.95,0.00,36.82,0.00,0,0,,0.00,8460.018568,N,0,0,0,0,0.00
182,2020-09-05T03:00:00+04:00,IMYPD00916BM/ORXL AMZ,B072FBTSF1,B072FBTSF1,Izas Chaqueta de Fibra Ultraligera Sindu,New,19543,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,9,Infinite,Infinite,Infinite,Infinite,11.5555555555556,2,0,EUR,65.99,65.99,51.56,0.00,65.99,0.00,0,0,,0.00,10526.07754,N,0,0,0,0,0.00
183,2020-09-05T03:00:00+04:00,IMLPF00348DG/BKXL AMZ,B072BR56YF,B072BR56YF,Izas Chaqueta de Forro Polar Padru,New,10438,gl_sports,3,3,0,3,0,0,0,0,0,0,0,0,8,9,Infinite,Infinite,Infinite,9.75,17.3333333333333,2,0,EUR,16.99,16.99,16.99,0.00,18.99,0.00,0,0,,0.00,3990.00875,N,0,0,0,0,0.00
184,2020-09-05T03:00:00+04:00,IMLPF00348DG/BK4XL AMZ,B07285RL4M,B07285RL4M,Izas Chaqueta de Forro Polar Padru,New,10438,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,3,Infinite,Infinite,Infinite,Infinite,34.6666666666667,2,0,EUR,16.99,16.99,16.01,0.00,18.99,0.00,0,0,,0.00,4819.970596,N,0,0,0,0,0.00
185,2020-09-05T03:00:00+04:00,IWLPF00565TQ/BKXS AMZ,B07285D81R,B07285D81R,Izas Chaqueta Forro Polar Wheeler,New,8083,gl_sports,2,2,0,0,0,2,0,0,0,0,0,0,0,1,Infinite,Infinite,Infinite,Infinite,104.0,1,0,EUR,16.99,16.99,16.99,0.00,0.00,0.00,0,0,,0.00,3920.008614,N,0,0,0,0,0.00
