,b'seller-sku,fulfillment-channel-sku,asin,condition-type,Warehouse-Condition-code,Quantity Available
42,IMDDW00309BK/BKL AMZ,X000R8CRNL,B071F4X9XK,NewItem,SELLABLE,0
43,IMDDW00309BM/BM4XL AMZ,X000RA6NMF,B071NWQNXF,NewItem,SELLABLE,0
44,IMDDW01358/LMXL,B07KS6WXWT,B07KS6WXWT,NewItem,SELLABLE,0
45,IMDDW00306DG/GRXL AMZ,B07F8RZXNB,B07F8RZXNB,NewItem,SELLABLE,0
46,IMDDW00309BM/BMXXL AMZ,X000R9QBCD,B0711MVHWV,NewItem,SELLABLE,0
47,IMDDW00306BM/ORM AMZ,B0716T92P4,B0716T92P4,NewItem,SELLABLE,0
48,IMFSD01409BR/OR43 AMZ,X001107UDB,B07PYHQSRY,NewItem,SELLABLE,1
49,IMDDW00306BK/RDXXL AMZ,B00R4HSNME,B00R4HSNME,NewItem,SELLABLE,0
50,IMDDW00309BK/BKXXL AMZ,X000R8CKIN,B071F4T8JP,NewItem,SELLABLE,0
51,IMDDW01358/ORM,B07KS65GS8,B07KS65GS8,NewItem,SELLABLE,0
52,EU-CW99-DLKR,B07G8233HS,B07G8233HS,NewItem,SELLABLE,0
53,IMDDW00306DG/GRXS AMZ,B07F8QL6YB,B07F8QL6YB,NewItem,SELLABLE,0
54,IMDDW00306BM/ORXL AMZ,B0719DRB13,B0719DRB13,NewItem,SELLABLE,0
55,IMDDW00306BM/ORS AMZ,B0719DRB14,B0719DRB14,NewItem,SELLABLE,0
56,IMDDW00306BK/RDL AMZ,B00R4HS78Y,B00R4HS78Y,NewItem,SELLABLE,0
57,IMDDW00309DG/MR3XL AMZ,X000R8RYQB,B071HQMGXJ,NewItem,SELLABLE,0
58,IMDDW01358/ORXXL,B07KS5MSGL,B07KS5MSGL,NewItem,SELLABLE,0
59,IMFSD01409BR/OR39 AMZ,X00116FJVZ,B07PXG67PM,NewItem,SELLABLE,2
60,IMDDW01358/LMXS,B07KS6MBZP,B07KS6MBZP,NewItem,SELLABLE,0
61,IMFSD01409BM/BV46 AMZ,X00115AJQL,B07PYH7GSG,NewItem,SELLABLE,0
62,IMDDW01358/ORL,B07KS62P66,B07KS62P66,NewItem,SELLABLE,0
63,IMFSD01409BM/BV44 AMZ,X00113CV7N,B07PYJPT1N,NewItem,SELLABLE,1
64,IMDDW00306BK/RD4XL AMZ,B0185EJH9C,B0185EJH9C,NewItem,SELLABLE,0
65,IMDDW00309BM/BML AMZ,X000R9QBC3,B07147FRJT,NewItem,SELLABLE,0
66,IMDDW01358/ORS,B07KS74ZGF,B07KS74ZGF,NewItem,SELLABLE,0
67,IMDDW00309DG/MRS AMZ,X000R8A54T,B071LB7DDK,NewItem,SELLABLE,0
68,IMDDW00309BM/BMXS AMZ,X000RA6SJD,B071NX3CMP,NewItem,SELLABLE,0
69,IMDDW00306BK/RDXL AMZ,B00R4HSGJ4,B00R4HSGJ4,NewItem,SELLABLE,0
70,IMFSD01409BR/OR42 AMZ,X00116FE4R,B07NLFVJG8,NewItem,SELLABLE,2
71,IMFSD01409BR/OR42 AMZ,X00116FE4R,B07NLFVJG8,NewItem,UNSELLABLE,1
